2024-06-22 23:49:56.679 [background-preinit] INFO  o.h.validator.internal.util.Version [Version.java : 21] - HV000001: Hibernate Validator 8.0.1.Final
2024-06-22 23:49:56.703 [restartedMain] INFO  apiwork.APIBackEndApplication [StartupInfoLogger.java : 51] - Starting APIBackEndApplication using Java 17.0.8 with PID 24272 (C:\Users\dell\IdeaProjects\API-back-end\target\classes started by dell in C:\Users\dell\IdeaProjects\API-back-end)
2024-06-22 23:49:56.703 [restartedMain] INFO  apiwork.APIBackEndApplication [SpringApplication.java : 634] - No active profile set, falling back to 1 default profile: "default"
2024-06-22 23:49:56.746 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor [DeferredLog.java : 250] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-06-22 23:49:56.746 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor [DeferredLog.java : 250] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-06-22 23:49:57.216 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [RepositoryConfigurationDelegate.java : 291] - Multiple Spring Data modules found, entering strict repository configuration mode
2024-06-22 23:49:57.217 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [RepositoryConfigurationDelegate.java : 138] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-06-22 23:49:57.237 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [RepositoryConfigurationDelegate.java : 208] - Finished Spring Data repository scanning in 12 ms. Found 0 Redis repository interfaces.
2024-06-22 23:49:57.785 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer [TomcatWebServer.java : 108] - Tomcat initialized with port(s): 8080 (http)
2024-06-22 23:49:57.791 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol [DirectJDKLog.java : 173] - Initializing ProtocolHandler ["http-nio-8080"]
2024-06-22 23:49:57.792 [restartedMain] INFO  o.a.catalina.core.StandardService [DirectJDKLog.java : 173] - Starting service [Tomcat]
2024-06-22 23:49:57.792 [restartedMain] INFO  o.a.catalina.core.StandardEngine [DirectJDKLog.java : 173] - Starting Servlet engine: [Apache Tomcat/10.1.12]
2024-06-22 23:49:57.837 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] [DirectJDKLog.java : 173] - Initializing Spring embedded WebApplicationContext
2024-06-22 23:49:57.838 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext [ServletWebServerApplicationContext.java : 291] - Root WebApplicationContext: initialization completed in 1091 ms
2024-06-22 23:49:57.989 [restartedMain] WARN  c.b.m.core.metadata.TableInfoHelper [TableInfoHelper.java : 376] - Can not find table primary key in Class: "apiwork.pojo.History".
2024-06-22 23:49:57.992 [restartedMain] WARN  c.b.m.c.injector.DefaultSqlInjector [DefaultSqlInjector.java : 52] - class apiwork.pojo.History ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2024-06-22 23:49:58.274 [restartedMain] WARN  c.b.m.core.metadata.TableInfoHelper [TableInfoHelper.java : 376] - Can not find table primary key in Class: "apiwork.pojo.Video".
2024-06-22 23:49:58.274 [restartedMain] WARN  c.b.m.c.injector.DefaultSqlInjector [DefaultSqlInjector.java : 52] - class apiwork.pojo.Video ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2024-06-22 23:49:58.293 [restartedMain] WARN  c.b.m.core.metadata.TableInfoHelper [TableInfoHelper.java : 376] - Can not find table primary key in Class: "apiwork.pojo.Like".
2024-06-22 23:49:58.293 [restartedMain] WARN  c.b.m.c.injector.DefaultSqlInjector [DefaultSqlInjector.java : 52] - class apiwork.pojo.Like ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
